,frame_name,lp_cat,lp_all,lp_ratio,lp_cat_canny,lp_all_canny,lp_ratio_canny,blur,cat_x,cat_y,face_size,size_ratio,eyes,ears,nose,img_ctr,num_eye,num_ear,num_nose,eye_x1,eye_y1,eye_x2,eye_y2,eye_w1,eye_w2,eye_w,eye_h1,eye_h2,eye_h,eye_size,eye_ratio,nose_x,nose_y,ear_w1,ear_w2,ear_w,ear_h1,ear_h2,ear_h,video,avg_face,nose_to_ctr,avg_to_ctr,prob
15,IMG_0395.MOV_81.jpg,1.7861101943240492,25.883650000911263,0.06900534485133153,7142.027261053801,6071.7908677838295,1.1762637114114902,0,0.4890625,0.4555555555555556,157609.0,0.07600742669753087,"[(1008, 620, 98, 70), (1174, 626, 97, 70)]","[[1293, 274, 137, 188], [876, 323, 177, 175]]","[[1099, 749, 82, 55]]","(960.0, 540.0)",2,2,1,1008,620,1174,626,98,97,97.5,70,70,70.0,6825.0,0.0433033646555717,1099,749,137,177,157.0,188,175,181.5,IMG_0395,253424.28703703705,251.0019920239678,354.4449509462846,0.41
0,IMG_0395.MOV_2.jpg,1.7123823819715815,48.10155285918335,0.035599316034236106,24332.94438923019,16263.77601982943,1.4961435990979284,0,0.5463541666666667,0.1814814814814815,123904.0,0.059753086419753076,"[(1097, 295, 97, 69), (1262, 303, 118, 75)]","[[989, 18, 193, 186], [1348, 25, 200, 188]]","[[1169, 426, 92, 55]]","(960.0, 540.0)",2,2,1,1097,295,1262,303,97,118,107.5,69,75,72.0,7740.0,0.06246771694214876,1169,426,193,200,196.5,186,188,187.0,IMG_0395,253424.28703703705,238.0693176366917,354.4449509462846,0.41
63,IMG_0395.MOV_489.jpg,1.7810107644525608,23.221959646140732,0.07669511064491698,2598.0930913656434,5976.210169951465,0.4347392440160356,0,0.5260416666666666,0.09907407407407408,358801.0,0.17303288966049382,"[(1118, 245, 139, 164), (1387, 274, 140, 129)]","[[998, 8, 250, 160], [1500, -2, 259, 282]]",[],"(960.0, 540.0)",2,2,0,1118,245,1387,274,139,140,139.5,164,129,146.5,20436.75,0.05695845329305102,0,0,250,259,254.5,160,282,221.0,IMG_0395,253424.28703703705,1101.4535850411492,354.4449509462846,0.4
24,IMG_0395.MOV_160.jpg,1.4936648570317126,18.45230243422575,0.08094734314896276,2941.6704565324644,1591.256076388889,1.8486468018448248,0,0.5427083333333333,0.2212962962962963,107584.0,0.051882716049382716,"[(1055, 343, 117, 76)]","[[1285, 1, 153, 147], [835, 6, 264, 162]]","[[1175, 471, 69, 66]]","(960.0, 540.0)",1,2,1,1055,343,0,0,117,0,117.0,76,0,76.0,8892.0,0.08265169541939321,1175,471,153,264,208.5,147,162,154.5,IMG_0395,253424.28703703705,225.80079716422614,354.4449509462846,0.4
65,IMG_0395.MOV_503.jpg,1.0724860899550916,37.04996023329115,0.028947024050822383,5258.07555416019,10571.140754664968,0.4973990675358134,1,0.6213541666666667,0.2111111111111111,33489.0,0.01615017361111111,"[(1099, 128, 138, 118), (1372, 129, 135, 111)]","[[941, 0, 236, 141], [1455, -3, 247, 155]]","[[1228, 269, 113, 89]]","(960.0, 540.0)",2,2,1,1099,128,1372,129,138,135,136.5,118,111,114.5,15629.25,0.4666980202454537,1228,269,236,247,241.5,141,155,148.0,IMG_0395,253424.28703703705,381.13645850272576,354.4449509462846,0.395
8,IMG_0395.MOV_60.jpg,1.6824162850126123,20.588715346320203,0.08171545707019108,5551.5592747064775,4315.1187050849485,1.286536861237329,0,0.44947916666666665,0.2740740740740741,164836.0,0.07949266975308641,"[(958, 405, 87, 86), (1102, 438, 100, 73)]","[[878, 121, 186, 166], [1236, 117, 197, 210]]","[[1009, 548, 86, 85]]","(960.0, 540.0)",2,2,1,958,405,1102,438,87,100,93.5,86,73,79.5,7433.25,0.04509482151957097,1009,548,186,197,191.5,166,210,188.0,IMG_0395,253424.28703703705,49.64876634922564,354.4449509462846,0.385
102,IMG_0395.MOV_627.jpg,1.9154223431606376,16.957302436966756,0.11295560424664218,4917.843297646904,2518.276258136137,1.952860922926212,0,0.465625,0.3314814814814815,355216.0,0.17130401234567902,"[(1004, 511, 136, 120), (1269, 545, 148, 88)]","[[759, 17, 352, 286], [1354, 93, 329, 288]]","[[1150, 739, 168, 135]]","(960.0, 540.0)",2,2,1,1004,511,1269,545,136,148,142.0,120,88,104.0,14768.0,0.04157470384216927,1150,739,352,329,340.5,286,288,287.0,IMG_0395,253424.28703703705,275.138147118861,354.4449509462846,0.375
18,IMG_0395.MOV_90.jpg,1.6315162544503727,26.232414825412448,0.06219466508549772,22500.857576946157,7800.773520585627,2.8844392825362988,0,0.5130208333333334,0.4101851851851852,129600.0,0.0625,"[(1040, 553, 99, 70), (1211, 575, 75, 66)]","[[928, 236, 170, 195], [1283, 259, 198, 191]]","[[1130, 679, 78, 57]]","(960.0, 540.0)",2,2,1,1040,553,1211,575,99,75,87.0,70,66,68.0,5916.0,0.045648148148148146,1130,679,170,198,184.0,195,191,193.0,IMG_0395,253424.28703703705,219.59280498231266,354.4449509462846,0.34
6,IMG_0395.MOV_20.jpg,1.6532663348641894,21.51382078269305,0.07684670945079973,14512.157107089004,3895.635959065277,3.7252344057762175,0,0.5536458333333333,0.1925925925925926,103684.0,0.05000192901234568,"[(1112, 290, 87, 66)]","[[1070, 22, 156, 177], [1388, 27, 185, 200]]","[[1170, 403, 73, 56]]","(960.0, 540.0)",1,2,1,1112,290,0,0,87,0,87.0,66,0,66.0,5742.0,0.055379807877782496,1170,403,156,185,170.5,177,200,188.5,IMG_0395,253424.28703703705,250.7369139157615,354.4449509462846,0.315
82,IMG_0395.MOV_559.jpg,2.2704967901884983,15.03278291712121,0.15103635851766162,7160.444291936236,2469.200190942027,2.899904316467937,0,0.4432291666666667,0.04722222222222222,351649.0,0.16958381558641974,"[(936, 228, 154, 120), (1219, 222, 145, 123)]","[[767, -4, 251, 209], [1297, -7, 256, 226]]","[[1092, 397, 115, 87]]","(960.0, 540.0)",2,2,1,936,228,1219,222,154,145,149.5,120,123,121.5,18164.25,0.05165449069953277,1092,397,251,256,253.5,209,226,217.5,IMG_0395,253424.28703703705,194.60986614249546,354.4449509462846,0.295
